	doc_id	sent_id	token_id	begin	end	text	"Tumor.TNM.""TNM"""	"Tumor.TNM.""version"""
0	"""1"""	0	0	0	5	﻿AJCC		
1	"""1"""	0	1	6	10	2009		"""version"""
2	"""1"""	1	2	10	11	:		"""version"""
3	"""1"""	1	3	12	16	pT4a	"""TNM"""	
4	"""1"""	1	4	16	17	,	"""TNM"""	
5	"""1"""	1	5	18	21	pN3	"""TNM"""	
6	"""1"""	1	6	22	23	(		
7	"""1"""	1	7	23	26	1/1		
8	"""1"""	1	8	27	30	und		
9	"""1"""	1	9	31	52	In-Transit-Metastasen		
10	"""1"""	1	10	52	53	)		
11	"""1"""	1	11	53	54	,		
12	"""1"""	1	12	55	57	L1		
13	"""1"""	1	13	57	58	,		
14	"""1"""	1	14	59	61	V0		
15	"""1"""	1	15	61	62	,		
16	"""1"""	1	16	63	66	Pn0		
17	"""1"""	1	17	66	67	.		
18	"""1"""	2	18	68	71	pT1	"""TNM"""	
19	"""1"""	2	19	71	72	,	"""TNM"""	
20	"""1"""	2	20	73	76	pN3	"""TNM"""	
21	"""1"""	2	21	77	78	(		
22	"""1"""	2	22	78	90	linksseitige		
23	"""1"""	2	23	91	102	Lymphknoten		
24	"""1"""	2	24	102	103	:		
25	"""1"""	2	25	104	108	3/30		
26	"""1"""	2	26	108	109	,		
27	"""1"""	2	27	110	123	rechtsseitige		
28	"""1"""	2	28	124	135	Lymphknoten		
29	"""1"""	2	29	135	136	:		
30	"""1"""	2	30	137	141	5/39		
31	"""1"""	2	31	141	142	)		
32	"""1"""	2	32	142	143	,		
33	"""1"""	2	33	144	146	L1		
34	"""1"""	2	34	146	147	,		
35	"""1"""	2	35	148	151	Pn1		
36	"""1"""	2	36	151	152	,		
37	"""1"""	2	37	153	155	V0		
38	"""1"""	2	38	155	156	,		
39	"""1"""	2	39	157	159	G3		
40	"""1"""	2	40	160	165	Tumor		
41	"""1"""	2	41	166	177	pT1,cN0,cMx	"""TNM"""	
42	"""1"""	2	42	178	184	Mässig		
43	"""1"""	2	43	185	200	differenziertes		
44	"""1"""	2	44	200	201	,		
45	"""1"""	2	45	202	211	teilweise		
46	"""1"""	2	46	212	224	verhornendes		
47	"""1"""	2	47	225	247	Plattenepithelkarzinom		
48	"""1"""	2	48	247	248	,		
49	"""1"""	2	49	249	273	Tumor-Maximaldurchmesser		
50	"""1"""	2	50	273	274	:		
51	"""1"""	3	51	275	278	1.9		
52	"""1"""	3	52	278	280	cm		
53	"""1"""	3	53	280	281	,		
54	"""1"""	4	54	282	294	Infiltration		
55	"""1"""	4	55	295	297	in		
56	"""1"""	4	56	298	301	die		
57	"""1"""	4	57	302	310	Subkutis		
58	"""1"""	4	58	310	311	,		
59	"""1"""	4	59	312	320	nächster		
60	"""1"""	4	60	321	335	Resektionsrand		
61	"""1"""	4	61	336	339	zur		
62	"""1"""	4	62	340	345	Tiefe		
63	"""1"""	4	63	345	346	,		
64	"""1"""	4	64	347	350	ca.		
65	"""1"""	4	65	351	356	100um		
66	"""1"""	4	66	356	357	.		
67	"""1"""	5	67	358	361	pT1	"""TNM"""	
68	"""1"""	5	68	361	362	,	"""TNM"""	
69	"""1"""	5	69	363	365	G2		
70	"""1"""	6	70	366	369	Gut		
71	"""1"""	6	71	370	385	differenziertes		
72	"""1"""	6	72	386	398	verhornendes		
73	"""1"""	6	73	399	421	Plattenepithelkarzinom		
74	"""1"""	6	74	422	425	Typ		
75	"""1"""	6	75	426	440	Keratoakanthom		
76	"""1"""	6	76	440	441	,		
77	"""1"""	6	77	442	466	Tumor-Maximaldurchmesser		
78	"""1"""	6	78	466	467	:		
79	"""1"""	6	79	468	469	8		
80	"""1"""	6	80	469	471	mm		
81	"""1"""	6	81	471	472	,		
82	"""1"""	6	82	473	481	allseits		
