	doc_id	sent_id	token_id	begin	end	text
0	"""1"""	0	0	0	13	﻿HAUPTBEFUNDE
1	"""1"""	1	1	14	33	Atherosklerotisches
2	"""1"""	1	2	33	34	,
3	"""1"""	1	3	35	45	mehrzeitig
4	"""1"""	1	4	46	58	entstandenes
5	"""1"""	1	5	59	68	Aneurysma
6	"""1"""	1	6	69	78	dissecans
7	"""1"""	1	7	79	82	der
8	"""1"""	1	8	83	88	Aorta
9	"""1"""	1	9	89	99	descendens
10	"""1"""	1	10	100	104	pars
11	"""1"""	1	11	105	115	thoracalis
12	"""1"""	1	12	116	117	(
13	"""1"""	1	13	117	123	Umfang
14	"""1"""	1	14	124	127	des
15	"""1"""	1	15	128	136	aortalen
16	"""1"""	1	16	137	143	Lumens
17	"""1"""	1	17	144	147	8,5
18	"""1"""	1	18	147	149	cm
19	"""1"""	1	19	149	150	,
20	"""1"""	1	20	151	153	Dm
21	"""1"""	1	21	154	157	des
22	"""1"""	1	22	158	172	Aneurysmasacks
23	"""1"""	1	23	172	173	:
24	"""1"""	1	24	174	175	9
25	"""1"""	1	25	176	177	x
26	"""1"""	1	26	178	179	8
27	"""1"""	1	27	180	181	x
28	"""1"""	1	28	182	183	7
29	"""1"""	2	29	183	185	cm
30	"""1"""	2	30	185	186	,
31	"""1"""	2	31	187	192	Länge
32	"""1"""	2	32	193	196	der
33	"""1"""	2	33	197	213	Aortendissektion
34	"""1"""	3	34	213	214	:
35	"""1"""	4	35	215	217	15
36	"""1"""	4	36	217	219	cm
37	"""1"""	4	37	219	220	)
38	"""1"""	5	38	221	224	mit
39	"""1"""	5	39	225	233	Nachweis
40	"""1"""	5	40	234	237	der
41	"""1"""	5	41	238	245	offenen
42	"""1"""	5	42	246	257	Perforation
43	"""1"""	5	43	257	258	.
44	"""1"""	6	44	259	267	Blutiger
45	"""1"""	6	45	268	280	Pleuraerguss
46	"""1"""	6	46	281	287	rechts
47	"""1"""	6	47	288	289	(
48	"""1"""	6	48	289	294	700ml
49	"""1"""	6	49	294	295	)
50	"""1"""	6	50	296	301	sowie
51	"""1"""	6	51	302	310	frisches
52	"""1"""	6	52	310	311	,
53	"""1"""	6	53	312	317	teils
54	"""1"""	6	54	318	330	koaguliertes
55	"""1"""	6	55	331	335	Blut
56	"""1"""	6	56	336	338	im
57	"""1"""	6	57	339	346	rechten
58	"""1"""	6	58	347	356	Oberbauch
59	"""1"""	6	59	357	358	(
60	"""1"""	6	60	358	363	650ml
61	"""1"""	6	61	363	364	)
62	"""1"""	6	62	364	365	.
63	"""1"""	7	63	366	377	Ausgedehnte
64	"""1"""	7	64	378	385	frische
65	"""1"""	7	65	386	396	Einblutung
66	"""1"""	7	66	397	399	in
67	"""1"""	7	67	400	403	das
68	"""1"""	7	68	404	415	Mediastinum
69	"""1"""	7	69	416	421	sowie
70	"""1"""	7	70	422	428	blutig
71	"""1"""	7	71	429	439	tingierter
72	"""1"""	7	72	440	454	Perikarderguss
73	"""1"""	7	73	455	456	(
74	"""1"""	7	74	456	460	40ml
75	"""1"""	7	75	460	461	)
76	"""1"""	7	76	461	462	.
77	"""1"""	8	77	463	470	Zweites
78	"""1"""	8	78	471	483	abdominelles
79	"""1"""	8	79	484	493	Aneurysma
80	"""1"""	8	80	494	499	verum
81	"""1"""	8	81	500	503	der
82	"""1"""	8	82	504	509	Aorta
83	"""1"""	8	83	510	522	infrarenalis
84	"""1"""	8	84	523	524	(
85	"""1"""	8	85	524	530	Umfang
86	"""1"""	8	86	531	534	des
87	"""1"""	8	87	535	543	aortalen
88	"""1"""	8	88	544	550	Lumens
89	"""1"""	8	89	551	552	9
90	"""1"""	8	90	552	554	cm
91	"""1"""	8	91	554	555	,
92	"""1"""	8	92	556	558	Dm
93	"""1"""	8	93	559	562	des
94	"""1"""	8	94	563	577	Aneurysmasacks
95	"""1"""	8	95	578	582	max.
96	"""1"""	8	96	583	584	2
97	"""1"""	8	97	585	587	cm
98	"""1"""	8	98	587	588	)
99	"""1"""	8	99	589	592	mit
100	"""1"""	8	100	593	603	Ausbildung
101	"""1"""	8	101	604	609	einer
102	"""1"""	8	102	610	626	Aortendissektion
103	"""1"""	8	103	627	628	(
104	"""1"""	8	104	628	633	Länge
105	"""1"""	8	105	634	637	7,5
106	"""1"""	8	106	637	639	cm
107	"""1"""	8	107	639	640	)
108	"""1"""	8	108	640	641	.
109	"""1"""	9	109	642	652	Allgemeine
110	"""1"""	9	110	653	659	Anämie
111	"""1"""	9	111	660	663	der
112	"""1"""	9	112	664	671	inneren
113	"""1"""	9	113	672	678	Organe
114	"""1"""	9	114	678	679	.
