begin	end	feature_type	xmi_id	sent_id	token_id	text
0.0	13.0	Token	2.0	0	0	﻿HAUPTBEFUNDE
14.0	33.0	Token	3.0	1	1	Atherosklerotisches
33.0	34.0	Token	4.0	1	2	,
35.0	45.0	Token	5.0	1	3	mehrzeitig
46.0	58.0	Token	6.0	1	4	entstandenes
59.0	68.0	Token	7.0	1	5	Aneurysma
69.0	78.0	Token	8.0	1	6	dissecans
79.0	82.0	Token	9.0	1	7	der
83.0	88.0	Token	10.0	1	8	Aorta
89.0	99.0	Token	11.0	1	9	descendens
100.0	104.0	Token	12.0	1	10	pars
105.0	115.0	Token	13.0	1	11	thoracalis
116.0	117.0	Token	14.0	1	12	(
117.0	123.0	Token	15.0	1	13	Umfang
124.0	127.0	Token	16.0	1	14	des
128.0	136.0	Token	17.0	1	15	aortalen
137.0	143.0	Token	18.0	1	16	Lumens
144.0	147.0	Token	19.0	1	17	8,5
147.0	149.0	Token	20.0	1	18	cm
149.0	150.0	Token	21.0	1	19	,
151.0	153.0	Token	22.0	1	20	Dm
154.0	157.0	Token	23.0	1	21	des
158.0	172.0	Token	24.0	1	22	Aneurysmasacks
172.0	173.0	Token	25.0	1	23	:
174.0	175.0	Token	26.0	1	24	9
176.0	177.0	Token	27.0	1	25	x
178.0	179.0	Token	28.0	1	26	8
180.0	181.0	Token	29.0	1	27	x
182.0	183.0	Token	30.0	1	28	7
183.0	185.0	Token	31.0	2	29	cm
185.0	186.0	Token	32.0	2	30	,
187.0	192.0	Token	33.0	2	31	Länge
193.0	196.0	Token	34.0	2	32	der
197.0	213.0	Token	35.0	2	33	Aortendissektion
213.0	214.0	Token	36.0	3	34	:
215.0	217.0	Token	37.0	4	35	15
217.0	219.0	Token	38.0	4	36	cm
219.0	220.0	Token	39.0	4	37	)
221.0	224.0	Token	40.0	5	38	mit
225.0	233.0	Token	41.0	5	39	Nachweis
234.0	237.0	Token	42.0	5	40	der
238.0	245.0	Token	43.0	5	41	offenen
246.0	257.0	Token	44.0	5	42	Perforation
257.0	258.0	Token	45.0	5	43	.
259.0	267.0	Token	46.0	6	44	Blutiger
268.0	280.0	Token	47.0	6	45	Pleuraerguss
281.0	287.0	Token	48.0	6	46	rechts
288.0	289.0	Token	49.0	6	47	(
289.0	294.0	Token	50.0	6	48	700ml
294.0	295.0	Token	51.0	6	49	)
296.0	301.0	Token	52.0	6	50	sowie
302.0	310.0	Token	53.0	6	51	frisches
310.0	311.0	Token	54.0	6	52	,
312.0	317.0	Token	55.0	6	53	teils
318.0	330.0	Token	56.0	6	54	koaguliertes
331.0	335.0	Token	57.0	6	55	Blut
336.0	338.0	Token	58.0	6	56	im
339.0	346.0	Token	59.0	6	57	rechten
347.0	356.0	Token	60.0	6	58	Oberbauch
357.0	358.0	Token	61.0	6	59	(
358.0	363.0	Token	62.0	6	60	650ml
363.0	364.0	Token	63.0	6	61	)
364.0	365.0	Token	64.0	6	62	.
366.0	377.0	Token	65.0	7	63	Ausgedehnte
378.0	385.0	Token	66.0	7	64	frische
386.0	396.0	Token	67.0	7	65	Einblutung
397.0	399.0	Token	68.0	7	66	in
400.0	403.0	Token	69.0	7	67	das
404.0	415.0	Token	70.0	7	68	Mediastinum
416.0	421.0	Token	71.0	7	69	sowie
422.0	428.0	Token	72.0	7	70	blutig
429.0	439.0	Token	73.0	7	71	tingierter
440.0	454.0	Token	74.0	7	72	Perikarderguss
455.0	456.0	Token	75.0	7	73	(
456.0	460.0	Token	76.0	7	74	40ml
460.0	461.0	Token	77.0	7	75	)
461.0	462.0	Token	78.0	7	76	.
463.0	470.0	Token	79.0	8	77	Zweites
471.0	483.0	Token	80.0	8	78	abdominelles
484.0	493.0	Token	81.0	8	79	Aneurysma
494.0	499.0	Token	82.0	8	80	verum
500.0	503.0	Token	83.0	8	81	der
504.0	509.0	Token	84.0	8	82	Aorta
510.0	522.0	Token	85.0	8	83	infrarenalis
523.0	524.0	Token	86.0	8	84	(
524.0	530.0	Token	87.0	8	85	Umfang
531.0	534.0	Token	88.0	8	86	des
535.0	543.0	Token	89.0	8	87	aortalen
544.0	550.0	Token	90.0	8	88	Lumens
551.0	552.0	Token	91.0	8	89	9
552.0	554.0	Token	92.0	8	90	cm
554.0	555.0	Token	93.0	8	91	,
556.0	558.0	Token	94.0	8	92	Dm
559.0	562.0	Token	95.0	8	93	des
563.0	577.0	Token	96.0	8	94	Aneurysmasacks
578.0	582.0	Token	97.0	8	95	max.
583.0	584.0	Token	98.0	8	96	2
585.0	587.0	Token	99.0	8	97	cm
587.0	588.0	Token	100.0	8	98	)
589.0	592.0	Token	101.0	8	99	mit
593.0	603.0	Token	102.0	8	100	Ausbildung
604.0	609.0	Token	103.0	8	101	einer
610.0	626.0	Token	104.0	8	102	Aortendissektion
627.0	628.0	Token	105.0	8	103	(
628.0	633.0	Token	106.0	8	104	Länge
634.0	637.0	Token	107.0	8	105	7,5
637.0	639.0	Token	108.0	8	106	cm
639.0	640.0	Token	109.0	8	107	)
640.0	641.0	Token	110.0	8	108	.
642.0	652.0	Token	111.0	9	109	Allgemeine
653.0	659.0	Token	112.0	9	110	Anämie
660.0	663.0	Token	113.0	9	111	der
664.0	671.0	Token	114.0	9	112	inneren
672.0	678.0	Token	115.0	9	113	Organe
678.0	679.0	Token	116.0	9	114	.
